type,title,description,url
dashboard,Global Cases by Johns Hopkins University,Latest Coronavirus data as they become avaiable,https://www.arcgis.com/apps/opsdashboard/index.html#/bda7594740fd40299423467b48e9ecf6
dashboard,BBC,Dashboard from BBC,https://www.bbc.com/news/world-51235105
dashboard,New York Times,Dashboard form New York Times,https://www.nytimes.com/interactive/2020/world/coronavirus-maps.html
dashboard,HealthMap,Animated heatmap,https://www.healthmap.org/covid-19/?mod=article_inline
dashboard,CDC USA,Coronavirus Disease 2019 (COVID-19) in the U.S.,https://www.cdc.gov/coronavirus/2019-ncov/cases-in-us.html
dashboard,Harvard University,"Center for Geographic Analysis, Harvard University",https://bit.ly/31DR6h4
dashboard,COVID-19 GIS Hub,"designed to aid with real-time monitoring, to catalog GIS data that supports mapping and analysis",https://go.esri.com/Coronavirus
dashboard,Thebaselab,near-real-time look at coronavirus on a global scale,https://coronavirus.thebaselab.com/
dashboard,Singapore,scrapes data provided by the Singapore Ministry of Health,https://co.vid19.sg/dashboard
dashboard,Hong Kong,Latest Situation of Novel Coronavirus Infection in Hong Kong,https://chp-dashboard.geodata.gov.hk/nia/en.html
dashboard,Macau,capture and visualize information about the novel coronavirus spread in Macau,https://bit.ly/2HNvwxo
dashboard," University of
Virginia (UVA)",Network Systems Science and Advanced Computing (NSSAC) division of the Biocomplexity Institute and Initiative at the University of Virginia has prepared a map-sensitive dashboard,https://at.virginia.edu/3a5LP4V
dashboard,Korea,track the latest infection status of the novel coronavirus,https://bit.ly/2HGLHws
dashboard,Singapore,"Users may view the number of confirmed cases, including local and imported cases, hospitalized stable, hospitalized critical, deaths and discharged cases at a glance.",https://bit.ly/3c2boWp
dashboard,Taiwan,"latest updated number of confirmed, reported and death cases of COVID-19 around the world has been released. In addition, official news information announced by Taiwan Centers for Disease Control is included",https://bit.ly/37W8UWr
dashboard,Philippines,"It is the authoritative source of information about infections in the Philippines, and is also used to share information with other government departments, enabling them to more efficiently deploy resources and make informed decisions about their activities to combat the epidemic.",(https://ncovtracker.doh.gov.ph
dashboard,Thailand,Ministry of Public Health in Thailand has published an interactive map dashboard,https://bit.ly/2SFMaFw
dashboard,World Health Organization  (WHO),WHO has released the Novel Coronavirus (2019-nCoV) situation dashboard,https://bit.ly/2ThWToS
dashboard,ICAO,ICAO Coronavirus 2020 Evolution Dashboar,https://bit.ly/3atNHET
dashboard,Israel,made in Israel using ArcGIS Online,https://bit.ly/2UW8AE5
dashboard,Germany,COVID-19 Dashboard in Germany,https://bit.ly/2IE7y8h
dashboard,United Nations,A United Nations aviation agency built the 3DFX Dispersion map,https://bit.ly/2SpNb36
